Кто-нибудь	Кто-нибудь,
такой	такой
двинутый	двинутый
тип	тип
ходит!	ходит!
😂	😂
Подходит	Подходит
ко	ко
всем,	всем,
что-то	что-то
бормочет	бормочет
на	на
уши…	уши...
Может,	Может,
у	у
него	него
суперсила	суперсила
невидимого	невидимого
молока?	молока?
🥛🌪️	🥛🌪️
#двинутый	#двинутый
#чтоиссказал	#чтоиссказал

Жизнь	Жизнь
такая	такая
двинутый	двинутой
иногда,	иногда,
что	что
даже	даже
коты	коты
сами	сами
себе	себе
ставят	ставят
лайки!	лайки! 😂🙌
#помощьвпампах	#помощь в пампах
#двинутый	#двинутый

Дд	Привет,
ребята!	ребята!
Вы	Вы
видели,	видели,
как	как
быстро	быстро
летит	летит
время?	время? 😱
Кажется,	Кажется,
только	только
вчера	вчера
был	был
дд,	день дурака,
а	а
сегодня	сегодня
уже...	уже...
дд!!	день дурака! 😂
Давайте	Давайте
не	не
забывать,	забывать,
что	что
в	в
этом	этом
мире	мире
надо	надо
ловить	ловить
моменты!	моменты!
#жизнь	#жизнь
#дд	#деньдурака

Когда	Когда
проснулся,	проснулся,
понял,	понял,
что	что
у	у
меня	меня
дд	долгосрочные дела
по	по
жизни!	жизни! 😱😅
Как	Как
это	это
вообще	вообще
исправить?	исправить?
Вроде	Вроде
и	и
дела	дела
есть,	есть,
но	но
всё	всё
на	на
потом!	потом!
#дд	#долгосрочные_дела
#прокрастинация	#прокрастинация

Дд	Привет,
ребята!	ребята! 🤪
Никак	Никак
не	не
могу	могу
понять,	понять, 
что	что
это	это
такое!	такое! 
Это	Это
шифр,	шифр, 
или	или
новый	новый
тренд?	тренд? 😂
Пишите	Пишите
свои	свои
теории,	теории, 
все	все
дд	в шоке! 
в	
шоке!	шоке! #чтоэто #умозаключения

Когда	Когда
зашёл	зашёл
в	в
интернет	интернет
и	и
увидел	увидел,
что	что
все	все
вдруг	вдруг
начали	начали
говорить	говорить
дд	«дд»,
я	я
подумал,	подумал,
а	а
не	не
радоваться	радоваться
ли	ли
мне	мне
этому	этому
новому	новому
тренду?	тренду? 😂
#дд	#дд
#жизньПродолжается	#жизньПродолжается.

Когда	Когда
услышал	услышал
дд	Дд,
понял	понял,
что	что
мир	мир
не	не
такой	такой,
как	как
я	я
думал...	думал... 😱😅
#дд	#Дд
#жизнь	#жизнь
#реальность.	#реальность.

Просто	Просто
дд	день,
а	а
не	не
ддд!!!	день?! 😂🔥
Что	Что
за	за
ддшный	дивный
день,	день,
когда	когда
все	все
вокруг	вокруг
только	только
и	и
делают,	делают,
что	что
дд?	делают?
#LifeIsWeird	#LifeIsWeird
#ДдКаждыйДень	#ДеньКаждыйДень.

Когда	Когда
кто-то	кто-то
не	не
понимает	понимает,
что	что
шоколад	шоколад — это
это	это
не	не
еда,	еда,
а	а
смысл	смысл
жизни...	жизни.
#дебилы	#дебилы
🤦‍♂️🍫	🤦‍♂️🍫

Когда	Когда
твой	твой
друг	друг
не	не
знает	знает,
кто	кто
такой	такой
Лев	Лев
Толстой,	Толстой,
и	и
ты	ты
понимаешь,	понимаешь,
что	что
он	он
просто	просто
дебил	невежественный человек 😂📚
#жизнь	#жизнь
#дебилы	#невежественные_люди

Когда	Когда
твой	твой
друг	друг
снова	снова
пытается	пытается
объяснить,	объяснить,
почему	почему
ест	ест
пиццу	пиццу
на	на
завтрак,	завтрак.
я	Я
просто	просто
смотрю	смотрю
на	на
него	него
и	и
думаю:	думаю:
'Вот	'Вот
это	это
дебилизм!'	дебилизм!'
😂🍕	😂🍕
#пицца	#пицца
#дебил	#дебил

Когда	Когда
кто-то	кто-то
пишет	пишет
'учеба	'учеба
-	-
это	это
бесполезно',	бесполезно',
я	я
просто	просто
вижу	вижу
перед	перед
собой	собой
очередного	очередного
дебила.	дебила. 🤦‍♂️
Учись,	Учись,
чтобы	чтобы
не	не
быть	быть
таким!	таким!
#образование	#образование
#дебилизация	#дебилизация

Когда	Когда
ты	ты
