Абуз	Абуз,
#Действуй	#Действуй 
👊	👊

Капец	Капец,
народ	народ,
у	у
меня	меня
такой	такой
день,	день,
что	что
даже	даже
кот	кот
решил	решил
вздремнуть,	вздремнуть,
а	а
не	не
прыгать	прыгать
по	по
мебели!	мебели! 😩🐱 #жизнь #капец

Когда	Когда
поняла,	поняла,
что	что
снова	снова
нет	нет
кофе...	кофе?
КАПЕЦ!	Капец! 🤦‍♀️☕️
Как	Как
жить	жить
без	без
этого	этого
священного	священного
зелья?!	зелья?! 🤷‍♂️
#понедельник	#понедельник
#безкофе	#безкофе.

Каршеринг	Каршеринг —
это	это
не	не
просто	просто
аренда	аренда
тачки,	автомобиля,
это	а это
уровень	уровень
свободы!	свободы! 🚗💨
Кто	Кто
еще	еще
за	за
руль?	руль?
#каршеринг	#каршеринг
#свобода	#свобода
#дороги	#дороги.

Сегодня	Сегодня
решил	решил
попробовать	попробовать
каршеринг,	каршеринг,
но	но
вместо	вместо
машины	машины
угодил	угодил
в	в
машину	машину
времени	времени
🚗💨!	🚗💨!
Пожалуйста,	Пожалуйста,
кто-нибудь,	кто-нибудь,
верните	верните
меня	меня
обратно	обратно
в	в
2023!	2023!
#каршеринг	#каршеринг
#времяСкорости	#времяСкорости

Ребята	Ребята,
кто-то	кто-то
еще	еще
страдает	страдает
от	от
этой	этой
капчи,	капчи, 
которая	которая
сарачится,	сарачится,
как	как
будто	будто
это	это
финальный	финальный
экзамен	экзамен
в	в
университете?	университете? 😩💔
Каждый	Каждый
раз,	раз,
когда	когда
пытаюсь	пытаюсь
зайти	зайти
в	в
аккаунт,	аккаунт,
чувствую	чувствую
себя	себя
детективом!	детективом! 🕵️‍♂️
#капча	#капча 
#надоело	#надоело.

Вот	Это
это	это
катать	катать
вату	вату —
—	просто
просто	просто
кайф!	кайф! 😍
Как	Как
же	же
я	я
обожаю	обожаю
момент,	момент,
когда	когда
она	она
идеально	идеально
скручивается,	скручивается,
будто	будто
это	это
мой	мой
личный	личный
антистресс!	антистресс! 🤪💖
#Вата	#Вата
#МояЗабава	#МояЗабава
#Релакс	#Релакс

Каждый	Каждый
раз,	раз,
когда	когда
вижу	вижу
катку,	катку,
кажется,	кажется,
что	что
это	это
судьба!	судьба! ❄️⛸️
Буду	Буду
прощаться	прощаться
с	с
летними	летними
днями	днями
и	и
готовиться	готовиться
к	к
ледяным	ледяным
приключениям!	приключениям!
#катка	#катка
#зима	#зима
#снежныерадости	#снежныерадости.

Кто-то	Кто-то
еще	еще
верит	верит
в	в
эту	эту
идею	идею
каршеринга?	каршеринга! 🤔💔
Когда	Когда
вместо	вместо
своего	своего
нормального	нормального
авто	автомобиля
берёшь	берешь
у	у
кого-то	кого-то
лужу	лужу
металла	металла
с	с
запахом	запахом
пота!	пота! 🚗💨
#каршеринг	#каршеринг
#непонятен	#непонятен

Сегодня	Сегодня 
такой	такой 
день,	день, 
когда	когда 
просто	просто 
всё	всё 
вокруг	вокруг 
–	— 
КАХБА!	КАХБА! 🤯💔 
Не	Не 
могу	могу 
с	с 
этим	этим 
справиться,	справиться, 
мир	мир 
погибает	погибает 
от	от 
абсурда!	абсурда! 
Кто	Кто 
ещё	ещё 
в	в 
дикую	дикую 
кахбу	кахбу 
попал?	попал? 
#ПроблемыСовременности	#ПроблемыСовременности 
#КАХБА	#КАХБА

Квир	Квир —
это	это
не	не
просто	просто
слово,	слово,
это	это
целая	целая
вселенная!	вселенная! 🌈✨
Каждый	Каждый
из	из
нас	нас
имеет	имеет
право	право
быть	быть
собой.	собой.
Давайте	Давайте
отпразднуем	отпразднуем
разнообразие	разнообразие
и	и
поддержим	поддержим
друг	друг
друга!	друга! 💖
#КвирСила	#КвирСила
#ЛГБТК_PLUS	#ЛГБТК_PLUS

Как	Как
же	же
прекрасно	прекрасно
каткать	кататься
в	в
выходные!	выходные! 🤩
Лед	Лед
такой	такой
гладкий,	гладкий, 
а	а
ноги	ноги
как	как
у	у
пингвина!	пингвина! 🐧
Кто	Кто
со	со
мной	мной
на	на
катку?	каток? ⛸️🔥
#лед	#лед
#зимнееудовольствие	#зимнееудовольствие

Когда	Когда
вижу	вижу
качка	качка
в	в
спортзале,	спортзале,
сразу	сразу
вспоминаю,	вспоминаю,
что	что
у	у
меня	меня
на	на
завтрак	завтрак
были	были
только	только
семечки	семечки
🤔💪	🤔💪
#качок	#качок
#мотивация	#мотивация
#спортивнаяжизнь.	#спортивнаяжизнь.

Кек	Кек,
наконец-то	наконец-то
нашел	нашел
идеальный	идеальный
